"","AFortas","AJGoldberg","AMKennedy","AScalia","BRWhite","CEWhittaker","CThomas","DHSouter","EKagan","EWarren","FFrankfurter","FMurphy","FMVinson","HABlackmun","HHBurton","HLBlack","JGRoberts","JHarlan2","JPStevens","LFPowell","NMGorsuch","PStewart","RBGinsburg","RHJackson","SAAlito","SDOConnor","SFReed","SGBreyer","SMinton","SSotomayor","TCClark","TMarshall","WBRutledge","WEBurger","WHRehnquist","WJBrennan","WODouglas"
"AFortas",538,0,0,0,528,0,0,0,0,529,0,0,0,0,0,532,0,536,0,0,0,535,0,0,0,0,0,0,0,0,254,190,0,0,0,534,532
"AJGoldberg",0,452,0,0,436,0,0,0,0,446,0,0,0,0,0,450,0,447,0,0,0,448,0,0,0,0,0,0,0,0,448,0,0,0,0,448,446
"AMKennedy",0,0,2810,2597,720,0,2302,1730,566,0,0,0,0,816,0,0,1006,0,2190,0,89,0,2086,0,968,1790,0,1969,0,688,0,480,0,0,1778,356,0
"AScalia",0,0,2597,2844,959,0,2095,1731,366,0,0,0,0,1054,0,0,802,0,2428,156,0,0,1879,0,764,2028,0,1762,0,484,0,720,0,0,2016,593,0
"BRWhite",528,436,720,959,4853,0,218,352,0,1071,0,0,0,3580,0,1365,0,1361,2674,2431,0,2998,0,0,0,1783,0,0,0,0,749,3680,0,2780,3360,4431,2006
"CEWhittaker",0,0,0,0,0,652,0,0,0,636,635,0,0,0,197,640,0,645,0,0,0,427,0,0,0,0,0,0,0,0,639,0,0,0,0,648,648
"CThomas",0,0,2302,2095,218,0,2307,1597,568,0,0,0,0,313,0,0,1008,0,1688,0,90,0,2087,0,971,1295,0,1970,0,690,0,0,0,0,1274,0,0
"DHSouter",0,0,1730,1731,352,0,1597,1736,0,0,0,0,0,447,0,0,308,0,1730,0,0,0,1382,0,273,1427,0,1271,0,0,0,113,0,0,1406,0,0
"EKagan",0,0,566,366,0,0,568,0,568,0,0,0,0,0,0,0,565,0,0,0,87,0,568,0,564,0,0,564,0,561,0,0,0,0,0,0,0
"EWarren",529,446,0,0,1071,636,0,0,0,2155,999,0,0,0,552,2127,0,1959,0,0,0,1564,0,71,0,0,319,0,280,0,1794,243,0,0,0,1854,2132
"FFrankfurter",0,0,0,0,0,635,0,0,0,999,1822,375,780,0,1361,1791,0,830,0,0,0,426,0,825,0,0,1117,0,676,0,1345,0,382,0,0,719,1727
"FMurphy",0,0,0,0,0,0,0,0,0,0,375,376,369,0,375,371,0,0,0,0,0,0,0,359,0,0,368,0,0,0,0,0,373,0,0,0,365
"FMVinson",0,0,0,0,0,0,0,0,0,0,780,369,795,0,789,781,0,0,0,0,0,0,0,745,0,0,784,0,386,0,349,0,376,0,0,0,709
"HABlackmun",0,0,816,1054,3580,0,313,447,0,0,0,0,0,3696,0,151,0,148,2746,2407,0,1758,94,0,0,1877,0,0,0,0,0,3293,0,2624,3426,3188,795
"HHBurton",0,0,0,0,0,197,0,0,0,552,1361,375,789,0,1378,1351,0,384,0,0,0,0,0,834,0,0,1124,0,683,0,909,0,382,0,0,268,1282
"HLBlack",532,450,0,0,1365,640,0,0,0,2127,1791,371,781,151,1351,3257,0,2250,0,0,0,1858,0,826,0,0,1112,0,677,0,2157,501,378,278,0,2147,3134
"JGRoberts",0,0,1006,802,0,0,1008,308,565,0,0,0,0,0,0,0,1010,0,400,0,90,0,1010,0,962,24,0,1001,0,687,0,0,0,0,0,0,0
"JHarlan2",536,447,0,0,1361,645,0,0,0,1959,830,0,0,148,384,2250,0,2279,0,0,0,1854,0,0,0,0,149,0,107,0,1642,499,0,276,0,2150,2251
"JPStevens",0,0,2190,2428,2674,0,1688,1730,0,0,0,0,0,2746,0,0,400,0,4163,1763,0,865,1472,0,363,2856,0,1360,0,85,0,2398,0,1715,3707,2285,0
"LFPowell",0,0,0,156,2431,0,0,0,0,0,0,0,0,2407,0,0,0,0,1763,2448,0,1489,0,0,0,925,0,0,0,0,0,2390,0,2281,2413,2410,549
"NMGorsuch",0,0,89,0,0,0,90,0,87,0,0,0,0,0,0,0,90,0,0,0,90,0,90,0,90,0,0,90,0,90,0,0,0,0,0,0,0
"PStewart",535,448,0,0,2998,427,0,0,0,1564,426,0,0,1758,0,1858,0,1854,865,1489,0,3518,0,0,0,0,0,0,0,0,1239,2108,0,1917,1535,3479,2494
"RBGinsburg",0,0,2086,1879,0,0,2087,1382,568,0,0,0,0,94,0,0,1010,0,1472,0,90,0,2091,0,972,1078,0,1973,0,690,0,0,0,0,1056,0,0
"RHJackson",0,0,0,0,0,0,0,0,0,71,825,359,745,0,834,826,0,0,0,0,0,0,0,840,0,0,830,0,450,0,413,0,362,0,0,0,752
