"","HHBurton","RHJackson","WODouglas","FFrankfurter","SFReed","HLBlack","WBRutledge","FMurphy","FMVinson","TCClark","SMinton","EWarren","JHarlan2","WJBrennan","CEWhittaker","PStewart","BRWhite","AJGoldberg","AFortas","TMarshall","WEBurger","HABlackmun","LFPowell","WHRehnquist","JPStevens","SDOConnor","AScalia","AMKennedy","DHSouter","CThomas","RBGinsburg","SGBreyer","JGRoberts","SAAlito","SSotomayor","EKagan","NMGorsuch"
"HHBurton",1378,566,663,877,879,747,194,205,633,713,543,347,283,162,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RHJackson",566,840,334,602,553,402,156,178,509,296,304,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WODouglas",663,334,3839,774,574,2244,247,267,391,1174,330,1590,890,2015,297,1301,1094,316,385,796,342,318,222,189,0,0,0,0,0,0,0,0,0,0,0,0,0
"FFrankfurter",877,602,774,1822,641,892,167,187,458,874,413,545,647,424,456,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SFReed",879,553,574,641,1132,622,211,218,636,523,545,220,94,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HLBlack",747,402,2244,892,622,3257,282,295,458,1338,391,1607,1004,1452,324,1025,865,311,315,259,157,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WBRutledge",194,156,247,167,211,282,383,294,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FMurphy",205,178,267,187,218,295,294,376,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FMVinson",633,509,391,458,636,458,197,230,795,310,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCClark",713,296,1174,874,523,1338,0,0,310,2190,506,1303,1065,1082,467,874,572,273,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMinton",543,304,330,413,545,391,0,0,326,506,689,207,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EWarren",347,50,1590,545,220,1607,0,0,0,1303,207,2155,935,1625,356,984,795,369,434,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JHarlan2",283,0,890,647,94,1004,0,0,0,1065,75,935,2279,1106,482,1253,792,213,256,264,172,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WJBrennan",162,0,2015,424,27,1452,0,0,0,1082,0,1625,1106,5258,385,2196,2771,371,430,3074,1267,2004,1214,1234,1439,647,236,165,0,0,0,0,0,0,0,0,0
"CEWhittaker",155,0,297,456,0,324,0,0,0,467,0,356,482,385,652,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PStewart",0,0,1301,296,0,1025,0,0,0,874,0,984,1253,2196,327,3517,2018,315,335,1304,1255,1092,1041,995,530,0,0,0,0,0,0,0,0,0,0,0,0
"BRWhite",0,0,1094,0,0,865,0,0,0,572,0,795,792,2771,0,2018,4850,307,355,2127,1956,2312,1655,2397,1521,1233,622,509,258,135,0,0,0,0,0,0,0
"AJGoldberg",0,0,316,0,0,311,0,0,0,273,0,369,213,371,0,315,307,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFortas",0,0,385,0,0,315,0,0,0,170,0,434,256,430,0,335,355,0,538,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMarshall",0,0,796,0,0,259,0,0,0,0,0,209,264,3074,0,1304,2127,0,158,3697,1256,2104,1203,1268,1506,673,283,218,61,0,0,0,0,0,0,0,0
"WEBurger",0,0,342,0,0,157,0,0,0,0,0,0,172,1267,0,1255,1956,0,0,1256,2796,1786,1693,1913,887,639,0,0,0,0,0,0,0,0,0,0,0
"HABlackmun",0,0,318,0,0,89,0,0,0,0,0,0,80,2004,0,1092,2312,0,0,2104,1786,3693,1545,2013,1686,1047,467,426,272,130,56,0,0,0,0,0,0
"LFPowell",0,0,222,0,0,0,0,0,0,0,0,0,0,1214,0,1041,1655,0,0,1203,1693,1545,2446,1767,937,685,104,0,0,0,0,0,0,0,0,0,0
"WHRehnquist",0,0,189,0,0,0,0,0,0,0,0,0,0,1234,0,995,2397,0,0,1268,1913,2013,1767,4431,1848,2182,1485,1402,874,943,625,564,0,0,0,0,0
"JPStevens",0,0,0,0,0,0,0,0,0,0,0,0,0,1439,0,530,1521,0,0,1506,887,1686,937,1848,4155,1518,1022,1144,1203,685,1095,971,190,148,60,0,0
"SDOConnor",0,0,0,0,0,0,0,0,0,0,0,0,0,647,0,0,1233,0,0,673,639,1047,685,2182,1518,2871,1341,1310,957,856,667,653,22,0,0,0,0
"AScalia",0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,622,0,0,283,0,467,104,1485,1022,1341,2838,1765,938,1668,936,857,598,534,233,214,0
"AMKennedy",0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,509,0,0,218,0,426,0,1402,1144,1310,1765,2729,1134,1451,1257,1224,719,632,414,375,11
"DHSouter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,61,0,272,0,874,1203,957,938,1134,1731,826,1118,989,179,136,0,0,0
"CThomas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,130,0,943,685,856,1668,1451,826,2225,940,892,638,641,275,252,17
"RBGinsburg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,625,1095,667,936,1257,1118,940,2010,1494,546,437,500,419,8
"SGBreyer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,971,653,857,1224,989,892,1494,1893,592,488,475,409,8
"JGRoberts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,22,598,719,179,638,546,592,932,691,384,340,12
"SAAlito",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,534,632,136,641,437,488,691,894,308,274,13
