"","caseId","AFortas","AJGoldberg","AMKennedy","AScalia","BRWhite","CEWhittaker","CThomas","DHSouter","EKagan","EWarren","FFrankfurter","FMurphy","FMVinson","HABlackmun","HHBurton","HLBlack","JGRoberts","JHarlan2","JPStevens","LFPowell","NMGorsuch","PStewart","RBGinsburg","RHJackson","SAAlito","SDOConnor","SFReed","SGBreyer","SMinton","SSotomayor","TCClark","TMarshall","WBRutledge","WEBurger","WHRehnquist","WJBrennan","WODouglas"
"1","1946-001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"2","1946-002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,1
"3","1946-003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,2
"4","1946-004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,1
"5","1946-005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"6","1946-006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"7","1946-007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
"8","1946-008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"9","1946-009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"10","1946-010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
