"","AFortas","AJGoldberg","AMKennedy","AScalia","BRWhite","CEWhittaker","CThomas","DHSouter","EKagan","EWarren","FFrankfurter","FMurphy","FMVinson","HABlackmun","HHBurton","HLBlack","JGRoberts","JHarlan2","JPStevens","LFPowell","NMGorsuch","PStewart","RBGinsburg","RHJackson","SAAlito","SDOConnor","SFReed","SGBreyer","SMinton","SSotomayor","TCClark","TMarshall","WBRutledge","WEBurger","WHRehnquist","WJBrennan","WODouglas"
"AFortas",NA,NA,NA,NA,0.672348484848485,NA,NA,NA,NA,0.820415879017013,NA,NA,NA,NA,NA,0.592105263157895,NA,0.477611940298507,NA,NA,NA,0.626168224299065,NA,NA,NA,NA,NA,NA,NA,NA,0.669291338582677,0.831578947368421,NA,NA,NA,0.805243445692884,0.723684210526316
"AJGoldberg",NA,NA,NA,NA,0.704128440366973,NA,NA,NA,NA,0.827354260089686,NA,NA,NA,NA,NA,0.691111111111111,NA,0.476510067114094,NA,NA,NA,0.703125,NA,NA,NA,NA,NA,NA,NA,NA,0.609375,NA,NA,NA,NA,0.828125,0.708520179372197
"AMKennedy",NA,NA,NA,0.681940700808625,0.708333333333333,NA,0.653344917463076,0.658381502890173,0.747349823321555,NA,NA,NA,NA,0.52328431372549,NA,NA,0.780318091451292,NA,0.525114155251142,NA,0.674157303370786,NA,0.625599232981783,NA,0.711776859504132,0.733519553072626,NA,0.644997460639919,NA,0.662790697674419,NA,0.454166666666667,NA,NA,0.790776152980877,0.463483146067416,NA
"AScalia",NA,NA,0.681940700808625,NA,0.64963503649635,NA,0.799045346062052,0.544771808203351,0.587431693989071,NA,NA,NA,NA,0.444022770398482,NA,NA,0.748129675810474,NA,0.42339373970346,0.666666666666667,NA,NA,0.500798296966471,NA,0.701570680628272,0.662721893491124,NA,0.489216799091941,NA,0.481404958677686,NA,0.393055555555556,NA,NA,0.73859126984127,0.397976391231029,NA
"BRWhite",0.672348484848485,0.704128440366973,0.708333333333333,0.64963503649635,NA,NA,0.623853211009174,0.735795454545455,NA,0.742296918767507,NA,NA,NA,0.646648044692737,NA,0.633699633699634,NA,0.581925055106539,0.569932685115931,0.681612505141917,NA,0.673115410273516,NA,NA,NA,0.69209197980931,NA,NA,NA,NA,0.763684913217624,0.578532608695652,NA,0.70431654676259,0.714285714285714,0.625818099751749,0.545363908275174
"CEWhittaker",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.559748427672956,0.718110236220472,NA,NA,NA,0.786802030456853,0.50625,NA,0.747286821705426,NA,NA,NA,0.765807962529274,NA,NA,NA,NA,NA,NA,NA,NA,0.730829420970266,NA,NA,NA,NA,0.594135802469136,0.458333333333333
"CThomas",NA,NA,0.653344917463076,0.799045346062052,0.623853211009174,NA,NA,0.52035065748278,0.51056338028169,NA,NA,NA,NA,0.4185303514377,NA,NA,0.680555555555556,NA,0.40936018957346,NA,0.766666666666667,NA,0.468615237182559,NA,0.722966014418126,0.663320463320463,NA,0.47258883248731,NA,0.447826086956522,NA,NA,NA,NA,0.743328100470958,NA,NA
"DHSouter",NA,NA,0.658381502890173,0.544771808203351,0.735795454545455,NA,0.52035065748278,NA,NA,NA,NA,NA,NA,0.610738255033557,NA,NA,0.584415584415584,NA,0.698265895953757,NA,NA,NA,0.811866859623734,NA,0.501831501831502,0.672740014015417,NA,0.781274586939418,NA,NA,NA,0.539823008849557,NA,NA,0.624466571834993,NA,NA
"EKagan",NA,NA,0.747349823321555,0.587431693989071,NA,NA,0.51056338028169,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.693805309734513,NA,NA,NA,0.574712643678161,NA,0.846830985915493,NA,0.558510638297872,NA,NA,0.836879432624113,NA,0.805704099821747,NA,NA,NA,NA,NA,NA,NA
"EWarren",0.820415879017013,0.827354260089686,NA,NA,0.742296918767507,0.559748427672956,NA,NA,NA,NA,0.545545545545546,NA,NA,NA,0.628623188405797,0.755524212505877,NA,0.477284328739153,NA,NA,NA,0.629156010230179,NA,0.704225352112676,NA,NA,0.689655172413793,NA,0.739285714285714,NA,0.726309921962096,0.860082304526749,NA,NA,NA,0.876483279395901,0.74577861163227
"FFrankfurter",NA,NA,NA,NA,NA,0.718110236220472,NA,NA,NA,0.545545545545546,NA,0.498666666666667,0.587179487179487,NA,0.644379132990448,0.498045784477945,NA,0.779518072289157,NA,NA,NA,0.694835680751174,NA,0.72969696969697,NA,NA,0.573858549686661,NA,0.61094674556213,NA,0.649814126394052,NA,0.43717277486911,NA,NA,0.58970792767733,0.448176027793862
"FMurphy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.498666666666667,NA,0.623306233062331,NA,0.546666666666667,0.795148247978437,NA,NA,NA,NA,NA,NA,NA,0.495821727019499,NA,NA,0.592391304347826,NA,NA,NA,NA,NA,0.788203753351206,NA,NA,NA,0.731506849315068
"FMVinson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.587179487179487,0.623306233062331,NA,NA,0.802281368821293,0.586427656850192,NA,NA,NA,NA,NA,NA,NA,0.683221476510067,NA,NA,0.811224489795918,NA,0.844559585492228,NA,0.888252148997135,NA,0.523936170212766,NA,NA,NA,0.55148095909732
"HABlackmun",NA,NA,0.52328431372549,0.444022770398482,0.646648044692737,NA,0.4185303514377,0.610738255033557,NA,NA,NA,NA,NA,NA,NA,0.589403973509934,NA,0.540540540540541,0.615076474872542,0.642708766098878,NA,0.621160409556314,0.595744680851064,NA,NA,0.558337773042088,NA,NA,NA,NA,NA,0.639538414819314,NA,0.68140243902439,0.588441330998249,0.629234629861982,0.4
"HHBurton",NA,NA,NA,NA,NA,0.786802030456853,NA,NA,NA,0.628623188405797,0.644379132990448,0.546666666666667,0.802281368821293,NA,NA,0.552923760177646,NA,0.736979166666667,NA,NA,NA,NA,NA,0.678657074340528,NA,NA,0.78202846975089,NA,0.79502196193265,NA,0.784378437843784,NA,0.507853403141361,NA,NA,0.604477611940298,0.517160686427457
"HLBlack",0.592105263157895,0.691111111111111,NA,NA,0.633699633699634,0.50625,NA,NA,NA,0.755524212505877,0.498045784477945,0.795148247978437,0.586427656850192,0.589403973509934,0.552923760177646,NA,NA,0.446222222222222,NA,NA,NA,0.551668460710441,NA,0.486682808716707,NA,NA,0.559352517985611,NA,0.577548005908419,NA,0.620305980528512,0.516966067864271,0.746031746031746,0.564748201438849,NA,0.676292501164415,0.716017868538609
"JGRoberts",NA,NA,0.780318091451292,0.748129675810474,NA,NA,0.680555555555556,0.584415584415584,0.693805309734513,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,NA,0.7,NA,0.59009900990099,NA,0.776507276507276,0.916666666666667,NA,0.641358641358641,NA,0.625909752547307,NA,NA,NA,NA,NA,NA,NA
"JHarlan2",0.477611940298507,0.476510067114094,NA,NA,0.581925055106539,0.747286821705426,NA,NA,NA,0.477284328739153,0.779518072289157,NA,NA,0.540540540540541,0.736979166666667,0.446222222222222,NA,NA,NA,NA,NA,0.675836030204962,NA,NA,NA,NA,0.630872483221476,NA,0.700934579439252,NA,0.648599269183922,0.529058116232465,NA,0.623188405797101,NA,0.514418604651163,0.39537983118614
"JPStevens",NA,NA,0.525114155251142,0.42339373970346,0.569932685115931,NA,0.40936018957346,0.698265895953757,NA,NA,NA,NA,NA,0.615076474872542,NA,NA,0.48,NA,NA,0.532614861032331,NA,0.61271676300578,0.747282608695652,NA,0.413223140495868,0.532563025210084,NA,0.717647058823529,NA,0.717647058823529,NA,0.628857381150959,NA,0.518367346938776,0.500134879956838,0.630634573304158,NA
