"","AFortas","AJGoldberg","AMKennedy","AScalia","BRWhite","CEWhittaker","CThomas","DHSouter","EKagan","EWarren","FFrankfurter","FMurphy","FMVinson","HABlackmun","HHBurton","HLBlack","JGRoberts","JHarlan2","JPStevens","LFPowell","NMGorsuch","PStewart","RBGinsburg","RHJackson","SAAlito","SDOConnor","SFReed","SGBreyer","SMinton","SSotomayor","TCClark","TMarshall","WBRutledge","WEBurger","WHRehnquist","WJBrennan","WODouglas"
"AFortas",538,0,0,0,355,0,0,0,0,434,0,0,0,0,0,315,0,256,0,0,0,335,0,0,0,0,0,0,0,0,170,158,0,0,0,430,385
"AJGoldberg",0,452,0,0,307,0,0,0,0,369,0,0,0,0,0,311,0,213,0,0,0,315,0,0,0,0,0,0,0,0,273,0,0,0,0,371,316
"AMKennedy",0,0,2810,1771,510,0,1504,1139,423,0,0,0,0,427,0,0,785,0,1150,0,60,0,1305,0,689,1313,0,1270,0,456,0,218,0,0,1406,165,0
"AScalia",0,0,1771,2844,623,0,1674,943,215,0,0,0,0,468,0,0,600,0,1028,104,0,0,941,0,536,1344,0,862,0,233,0,283,0,0,1489,236,0
"BRWhite",355,307,510,623,4853,0,136,259,0,795,0,0,0,2315,0,865,0,792,1524,1657,0,2018,0,0,0,1234,0,0,0,0,572,2129,0,1958,2400,2773,1094
"CEWhittaker",0,0,0,0,0,652,0,0,0,356,456,0,0,0,155,324,0,482,0,0,0,327,0,0,0,0,0,0,0,0,467,0,0,0,0,385,297
"CThomas",0,0,1504,1674,136,0,2307,831,290,0,0,0,0,131,0,0,686,0,691,0,69,0,978,0,702,859,0,931,0,309,0,0,0,0,947,0,0
"DHSouter",0,0,1139,943,259,0,831,1736,0,0,0,0,0,273,0,0,180,0,1208,0,0,0,1122,0,137,960,0,993,0,0,0,61,0,0,878,0,0
"EKagan",0,0,423,215,0,0,290,0,568,0,0,0,0,0,0,0,392,0,0,0,50,0,481,0,315,0,0,472,0,452,0,0,0,0,0,0,0
"EWarren",434,369,0,0,795,356,0,0,0,2155,545,0,0,0,347,1607,0,935,0,0,0,984,0,50,0,0,220,0,207,0,1303,209,0,0,0,1625,1590
"FFrankfurter",0,0,0,0,0,456,0,0,0,545,1822,187,458,0,877,892,0,647,0,0,0,296,0,602,0,0,641,0,413,0,874,0,167,0,0,424,774
"FMurphy",0,0,0,0,0,0,0,0,0,0,187,376,230,0,205,295,0,0,0,0,0,0,0,178,0,0,218,0,0,0,0,0,294,0,0,0,267
"FMVinson",0,0,0,0,0,0,0,0,0,0,458,230,795,0,633,458,0,0,0,0,0,0,0,509,0,0,636,0,326,0,310,0,197,0,0,0,391
"HABlackmun",0,0,427,468,2315,0,131,273,0,0,0,0,0,3696,0,89,0,80,1689,1547,0,1092,56,0,0,1048,0,0,0,0,0,2106,0,1788,2016,2006,318
"HHBurton",0,0,0,0,0,155,0,0,0,347,877,205,633,0,1378,747,0,283,0,0,0,0,0,566,0,0,879,0,543,0,713,0,194,0,0,162,663
"HLBlack",315,311,0,0,865,324,0,0,0,1607,892,295,458,89,747,3257,0,1004,0,0,0,1025,0,402,0,0,622,0,391,0,1338,259,282,157,0,1452,2244
"JGRoberts",0,0,785,600,0,0,686,180,392,0,0,0,0,0,0,0,1010,0,192,0,63,0,596,0,747,22,0,642,0,430,0,0,0,0,0,0,0
"JHarlan2",256,213,0,0,792,482,0,0,0,935,647,0,0,80,283,1004,0,2279,0,0,0,1253,0,0,0,0,94,0,75,0,1065,264,0,172,0,1106,890
"JPStevens",0,0,1150,1028,1524,0,691,1208,0,0,0,0,0,1689,0,0,192,0,4163,939,0,530,1100,0,150,1521,0,976,0,61,0,1508,0,889,1854,1441,0
"LFPowell",0,0,0,104,1657,0,0,0,0,0,0,0,0,1547,0,0,0,0,939,2448,0,1041,0,0,0,685,0,0,0,0,0,1205,0,1695,1769,1216,222
"NMGorsuch",0,0,60,0,0,0,69,0,50,0,0,0,0,0,0,0,63,0,0,0,90,0,44,0,69,0,0,48,0,43,0,0,0,0,0,0,0
"PStewart",335,315,0,0,2018,327,0,0,0,984,296,0,0,1092,0,1025,0,1253,530,1041,0,3518,0,0,0,0,0,0,0,0,874,1304,0,1255,995,2196,1301
"RBGinsburg",0,0,1305,941,0,0,978,1122,481,0,0,0,0,56,0,0,596,0,1100,0,44,0,2091,0,473,669,0,1563,0,568,0,0,0,0,628,0,0
"RHJackson",0,0,0,0,0,0,0,0,0,50,602,178,509,0,566,402,0,0,0,0,0,0,0,840,0,0,553,0,304,0,296,0,156,0,0,0,334
"SAAlito",0,0,689,536,0,0,702,137,315,0,0,0,0,0,0,0,747,0,150,0,69,0,473,0,972,0,0,525,0,342,0,0,0,0,0,0,0
"SDOConnor",0,0,1313,1344,1234,0,859,960,0,0,0,0,0,1048,0,0,22,0,1521,685,0,0,669,0,0,2874,0,655,0,0,0,673,0,639,2185,647,0
"SFReed",0,0,0,0,0,0,0,0,0,220,641,218,636,0,879,622,0,94,0,0,0,0,0,553,0,0,1132,0,545,0,523,0,211,0,0,27,574
"SGBreyer",0,0,1270,862,0,0,931,993,472,0,0,0,0,0,0,0,642,0,976,0,48,0,1563,0,525,655,0,1974,0,538,0,0,0,0,567,0,0
"SMinton",0,0,0,0,0,0,0,0,0,207,413,0,326,0,543,391,0,75,0,0,0,0,0,304,0,0,545,0,689,0,506,0,0,0,0,0,330
"SSotomayor",0,0,456,233,0,0,309,0,452,0,0,0,0,0,0,0,430,0,61,0,43,0,568,0,342,0,0,538,0,690,0,0,0,0,0,0,0
"TCClark",170,273,0,0,572,467,0,0,0,1303,874,0,310,0,713,1338,0,1065,0,0,0,874,0,296,0,0,523,0,506,0,2190,0,0,0,0,1082,1174
"TMarshall",158,0,218,283,2129,0,0,61,0,209,0,0,0,2106,0,259,0,264,1508,1205,0,1304,0,0,0,673,0,0,0,0,0,3699,0,1258,1270,3076,796
"WBRutledge",0,0,0,0,0,0,0,0,0,0,167,294,197,0,194,282,0,0,0,0,0,0,0,156,0,0,211,0,0,0,0,0,383,0,0,0,247
"WEBurger",0,0,0,0,1958,0,0,0,0,0,0,0,0,1788,0,157,0,172,889,1695,0,1255,0,0,0,639,0,0,0,0,0,1258,0,2798,1915,1269,342
"WHRehnquist",0,0,1406,1489,2400,0,947,878,0,0,0,0,0,2016,0,0,0,0,1854,1769,0,995,628,0,0,2185,0,567,0,0,0,1270,0,1915,4437,1236,189
"WJBrennan",430,371,165,236,2773,385,0,0,0,1625,424,0,0,2006,162,1452,0,1106,1441,1216,0,2196,0,0,0,647,27,0,0,0,1082,3076,0,1269,1236,5260,2015
"WODouglas",385,316,0,0,1094,297,0,0,0,1590,774,267,391,318,663,2244,0,890,0,222,0,1301,0,334,0,0,574,0,330,0,1174,796,247,342,189,2015,3839
