"","AFortas","AJGoldberg","AMKennedy","AScalia","BRWhite","CEWhittaker","CThomas","DHSouter","EKagan","EWarren","FFrankfurter","FMurphy","FMVinson","HABlackmun","HHBurton","HLBlack","JGRoberts","JHarlan2","JPStevens","LFPowell","NMGorsuch","PStewart","RBGinsburg","RHJackson","SAAlito","SDOConnor","SFReed","SGBreyer","SMinton","SSotomayor","TCClark","TMarshall","WBRutledge","WEBurger","WHRehnquist","WJBrennan","WODouglas"
"AFortas",NA,NA,NA,NA,0.740530303030303,NA,NA,NA,NA,0.869565217391304,NA,NA,NA,NA,NA,0.703007518796993,NA,0.598880597014925,NA,NA,NA,0.719626168224299,NA,NA,NA,NA,NA,NA,NA,NA,0.724409448818898,0.905263157894737,NA,NA,NA,0.880149812734082,0.81203007518797
"AJGoldberg",NA,NA,NA,NA,0.782110091743119,NA,NA,NA,NA,0.878923766816143,NA,NA,NA,NA,NA,0.797777777777778,NA,0.588366890380313,NA,NA,NA,0.772321428571429,NA,NA,NA,NA,NA,NA,NA,NA,0.71875,NA,NA,NA,NA,0.904017857142857,0.809417040358744
"AMKennedy",NA,NA,NA,0.826723142087023,0.822222222222222,NA,0.794092093831451,0.765895953757225,0.800353356890459,NA,NA,NA,NA,0.667892156862745,NA,NA,0.854870775347913,NA,0.65662100456621,NA,0.853932584269663,NA,0.7392138063279,NA,0.825413223140496,0.850279329608939,NA,0.758252920264093,NA,0.758720930232558,NA,0.554166666666667,NA,NA,0.869516310461192,0.581460674157303,NA
"AScalia",NA,NA,0.826723142087023,NA,0.796663190823775,NA,0.907875894988067,0.688619295205084,0.704918032786885,NA,NA,NA,NA,0.608159392789374,NA,NA,0.880299251870324,NA,0.576194398682043,0.775641025641026,NA,NA,0.646620542841937,NA,0.841623036649215,0.812623274161736,NA,0.639614074914869,NA,0.659090909090909,NA,0.529166666666667,NA,NA,0.862103174603175,0.549747048903879,NA
"BRWhite",0.740530303030303,0.782110091743119,0.822222222222222,0.796663190823775,NA,NA,0.76605504587156,0.8125,NA,0.786181139122316,NA,NA,NA,0.763966480446927,NA,0.72967032967033,NA,0.708302718589273,0.676514584891548,0.800493624023036,NA,0.760173448965977,NA,NA,NA,0.793045429052159,NA,NA,NA,NA,0.807743658210948,0.66304347826087,NA,0.805755395683453,0.783035714285714,0.710449108553374,0.636091724825523
"CEWhittaker",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.608490566037736,0.766929133858268,NA,NA,NA,0.817258883248731,0.56875,NA,0.8,NA,NA,NA,0.819672131147541,NA,NA,NA,NA,NA,NA,NA,NA,0.757433489827856,NA,NA,NA,NA,0.652777777777778,0.515432098765432
"CThomas",NA,NA,0.794092093831451,0.907875894988067,0.76605504587156,NA,NA,0.657482780212899,0.647887323943662,NA,NA,NA,NA,0.571884984025559,NA,NA,0.829365079365079,NA,0.549763033175355,NA,0.844444444444444,NA,0.620987062769526,NA,0.857878475798146,0.801544401544402,NA,0.624873096446701,NA,0.618840579710145,NA,NA,NA,NA,0.861067503924647,NA,NA
"DHSouter",NA,NA,0.765895953757225,0.688619295205084,0.8125,NA,0.657482780212899,NA,NA,NA,NA,NA,NA,0.724832214765101,NA,NA,0.668831168831169,NA,0.789595375722543,NA,NA,NA,0.882778581765557,NA,0.604395604395604,0.784863349684653,NA,0.851298190401259,NA,NA,NA,0.592920353982301,NA,NA,0.726173541963016,NA,NA
"EKagan",NA,NA,0.800353356890459,0.704918032786885,NA,NA,0.647887323943662,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.741592920353982,NA,NA,NA,0.64367816091954,NA,0.901408450704225,NA,0.668439716312057,NA,NA,0.895390070921986,NA,0.887700534759358,NA,NA,NA,NA,NA,NA,NA
"EWarren",0.869565217391304,0.878923766816143,NA,NA,0.786181139122316,0.608490566037736,NA,NA,NA,NA,0.623623623623624,NA,NA,NA,0.659420289855073,0.813352139163141,NA,0.592649310872894,NA,NA,NA,0.711636828644501,NA,0.746478873239437,NA,NA,0.699059561128527,NA,0.739285714285714,NA,0.764771460423634,0.925925925925926,NA,NA,NA,0.911542610571737,0.807223264540338
