"JusticeName","HHBurton","RHJackson","WODouglas","FFrankfurter","SFReed","HLBlack","WBRutledge","FMurphy","FMVinson","TCClark","SMinton","EWarren","JHarlan2","WJBrennan","CEWhittaker","PStewart","BRWhite","AJGoldberg","AFortas","TMarshall","WEBurger","HABlackmun","LFPowell","WHRehnquist","JPStevens","SDOConnor","AScalia","AMKennedy","DHSouter","CThomas","RBGinsburg","SGBreyer","JGRoberts","SAAlito","SSotomayor","EKagan","NMGorsuch"
"HHBurton",NA,0.678657074340528,0.517160686427457,0.644379132990448,0.78202846975089,0.552923760177646,0.507853403141361,0.546666666666667,0.802281368821293,0.784378437843784,0.79502196193265,0.628623188405797,0.736979166666667,0.604477611940298,0.786802030456853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RHJackson",0.678657074340528,NA,0.444148936170213,0.72969696969697,0.666265060240964,0.486682808716707,0.430939226519337,0.495821727019499,0.683221476510067,0.716707021791768,0.675555555555556,0.704225352112676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WODouglas",0.517160686427457,0.444148936170213,NA,0.448176027793862,0.552986512524085,0.716017868538609,0.663978494623656,0.731506849315068,0.55148095909732,0.55719031798766,0.540098199672668,0.74577861163227,0.39537983118614,0.719899964272955,0.458333333333333,0.521651964715317,0.545363908275174,0.708520179372197,0.723684210526316,0.695804195804196,0.368137782561894,0.4,0.404371584699454,0.327556325823224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFrankfurter",0.644379132990448,0.72969696969697,0.448176027793862,NA,0.573858549686661,0.498045784477945,0.43717277486911,0.498666666666667,0.587179487179487,0.649814126394052,0.61094674556213,0.545545545545546,0.779518072289157,0.58970792767733,0.718110236220472,0.694835680751174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SFReed",0.78202846975089,0.666265060240964,0.552986512524085,0.573858549686661,NA,0.559352517985611,0.559681697612732,0.592391304347826,0.811224489795918,0.775964391691395,0.801470588235294,0.689655172413793,0.630872483221476,0.692307692307692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HLBlack",0.552923760177646,0.486682808716707,0.716017868538609,0.498045784477945,0.559352517985611,NA,0.746031746031746,0.795148247978437,0.586427656850192,0.620305980528512,0.577548005908419,0.755524212505877,0.446222222222222,0.676292501164415,0.50625,0.551668460710441,0.633699633699634,0.691111111111111,0.592105263157895,0.516966067864271,0.564748201438849,0.589403973509934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WBRutledge",0.507853403141361,0.430939226519337,0.663978494623656,0.43717277486911,0.559681697612732,0.746031746031746,NA,0.788203753351206,0.523936170212766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FMurphy",0.546666666666667,0.495821727019499,0.731506849315068,0.498666666666667,0.592391304347826,0.795148247978437,0.788203753351206,NA,0.623306233062331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FMVinson",0.802281368821293,0.683221476510067,0.55148095909732,0.587179487179487,0.811224489795918,0.586427656850192,0.523936170212766,0.623306233062331,NA,0.888252148997135,0.844559585492228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TCClark",0.784378437843784,0.716707021791768,0.55719031798766,0.649814126394052,0.775964391691395,0.620305980528512,NA,NA,0.888252148997135,NA,0.821428571428571,0.726309921962096,0.648599269183922,0.707652060170046,0.730829420970266,0.705407586763519,0.763684913217624,0.609375,0.669291338582677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SMinton",0.79502196193265,0.675555555555556,0.540098199672668,0.61094674556213,0.801470588235294,0.577548005908419,NA,NA,0.844559585492228,0.821428571428571,NA,0.739285714285714,0.700934579439252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
