"","HHBurton","RHJackson","WODouglas","FFrankfurter","SFReed","HLBlack","WBRutledge","FMurphy","FMVinson","TCClark","SMinton","EWarren","JHarlan2","WJBrennan","CEWhittaker","PStewart","BRWhite","AJGoldberg","AFortas","TMarshall","WEBurger","HABlackmun","LFPowell","WHRehnquist","JPStevens","SDOConnor","AScalia","AMKennedy","DHSouter","CThomas","RBGinsburg","SGBreyer","JGRoberts","SAAlito","SSotomayor","EKagan","NMGorsuch"
"HHBurton",1378,834,1282,1361,1124,1351,382,375,789,909,683,552,384,268,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RHJackson",834,840,752,825,830,826,362,359,745,413,450,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WODouglas",1282,752,3839,1727,1038,3134,372,365,709,2107,611,2132,2251,2799,648,2494,2006,446,532,1144,929,795,549,577,0,0,0,0,0,0,0,0,0,0,0,0,0
"FFrankfurter",1361,825,1727,1822,1117,1791,382,375,780,1345,676,999,830,719,635,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SFReed",1124,830,1038,1117,1132,1112,377,368,784,674,680,319,149,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HLBlack",1351,826,3134,1791,1112,3257,378,371,781,2157,677,2127,2250,2147,640,1858,1365,450,532,501,278,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WBRutledge",382,362,372,382,377,378,383,373,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FMurphy",375,359,365,375,368,371,373,376,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FMVinson",789,745,709,780,784,781,376,369,795,349,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCClark",909,413,2107,1345,674,2157,0,0,349,2190,616,1794,1642,1529,639,1239,749,448,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMinton",683,450,611,676,680,677,0,0,386,616,689,280,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EWarren",552,71,2132,999,319,2127,0,0,0,1794,280,2155,1959,1854,636,1564,1071,446,529,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JHarlan2",384,0,2251,830,149,2250,0,0,0,1642,107,1959,2279,2150,645,1854,1361,447,536,499,276,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WJBrennan",268,0,2799,719,39,2147,0,0,0,1529,0,1854,2150,5258,648,3478,4429,448,534,3524,2754,3186,2408,2967,2283,1416,593,356,0,0,0,0,0,0,0,0,0
"CEWhittaker",197,0,648,635,0,640,0,0,0,639,0,636,645,648,652,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PStewart",0,0,2494,426,0,1858,0,0,0,1239,0,1564,1854,3478,427,3517,2997,448,535,2107,1916,1757,1488,1534,864,0,0,0,0,0,0,0,0,0,0,0,0
"BRWhite",0,0,2006,0,0,1365,0,0,0,749,0,1071,1361,4429,0,2997,4850,436,528,3678,2778,3577,2429,3357,2671,1782,958,719,351,217,0,0,0,0,0,0,0
"AJGoldberg",0,0,446,0,0,450,0,0,0,448,0,446,447,448,0,448,436,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFortas",0,0,532,0,0,532,0,0,0,254,0,529,536,534,0,535,528,0,538,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMarshall",0,0,1144,0,0,501,0,0,0,0,0,243,499,3524,0,2107,3678,0,190,3697,2714,3291,2388,3074,2396,1529,720,480,113,0,0,0,0,0,0,0,0
"WEBurger",0,0,929,0,0,278,0,0,0,0,0,0,276,2754,0,1916,2778,0,0,2714,2796,2622,2279,2401,1713,831,0,0,0,0,0,0,0,0,0,0,0
"HABlackmun",0,0,795,0,0,151,0,0,0,0,0,0,148,3186,0,1757,3577,0,0,3291,2622,3693,2405,3423,2743,1876,1053,815,446,312,94,0,0,0,0,0,0
"LFPowell",0,0,549,0,0,0,0,0,0,0,0,0,0,2408,0,1488,2429,0,0,2388,2279,2405,2446,2411,1761,925,156,0,0,0,0,0,0,0,0,0,0
"WHRehnquist",0,0,577,0,0,0,0,0,0,0,0,0,0,2967,0,1534,3357,0,0,3074,2401,3423,2411,4431,3701,2827,2012,1774,1402,1270,1053,947,0,0,0,0,0
"JPStevens",0,0,0,0,0,0,0,0,0,0,0,0,0,2283,0,864,2671,0,0,2396,1713,2743,1761,3701,4155,2853,2422,2184,1725,1682,1467,1355,398,361,84,0,0
"SDOConnor",0,0,0,0,0,0,0,0,0,0,0,0,0,1416,0,0,1782,0,0,1529,831,1876,925,2827,2853,2871,2025,1787,1424,1292,1076,972,24,0,0,0,0
"AScalia",0,0,0,0,0,0,0,0,0,0,0,0,0,593,0,0,958,0,0,720,0,1053,156,2012,2422,2025,2838,2591,1726,2089,1874,1757,800,762,483,365,0
"AMKennedy",0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,719,0,0,480,0,815,0,1774,2184,1787,2591,2729,1725,2221,2006,1889,929,891,612,493,17
"DHSouter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,0,0,113,0,446,0,1402,1725,1424,1726,1725,1731,1592,1378,1267,307,272,0,0,0
"CThomas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,312,0,1270,1682,1292,2089,2221,1592,2225,2006,1889,930,893,613,494,17
"RBGinsburg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,1053,1467,1076,1874,2006,1378,2006,2010,1892,932,894,613,494,17
"SGBreyer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947,1355,972,1757,1889,1267,1889,1892,1893,923,883,608,490,17
"JGRoberts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,24,800,929,307,930,932,923,932,884,610,491,17
"SAAlito",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,0,762,891,272,893,894,883,884,894,607,490,17
"SSotomayor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,483,612,0,613,613,608,610,607,613,487,17
"EKagan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,493,0,494,494,490,491,490,487,494,17
"NMGorsuch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,17,17,17,17,17,17,17
